League,Player,Team,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS
2017-2018 NBA NBA Summer League Stats,Vince Hunter,MEM,1,0,0,0,0,0,0,14,0,.120,0.4,2.0,0.4,5,1,.833,0.4,0.3,0.6
2017-2018 NBA NBA Summer League Stats,Daniel Ochefu,WAS,1,0,0,0,0,0,1,13,0,.156,0.8,0.4,0.6,0,5,.000,0.4,0.2,0.5
2017-2018 NBA NBA Summer League Stats,Jonah Bolden,PHI,1,0,0,0,0,0,0,13,1,.142,1.8,1.8,0.3,1,4,.200,0.2,0.1,0.2
2017-2018 NBA NBA Summer League Stats,Olivier Hanlan,SAS,1,0,0,0,0,0,0,16,0,.221,2.0,0.8,0.4,3,2,.600,0.4,0.1,0.5
2017-2018 NBA NBA Summer League Stats,Edy Tavares,CLE,1,0,0,0,0,0,1,12,0,.084,0.3,0.3,0.8,4,1,.800,0.2,0.4,0.5
2017-2018 NBA NBA Summer League Stats,Anthony Gill,CLE,1,0,0,0,0,0,0,13,0,.167,0.7,0.7,0.3,3,1,.750,0.2,0.3,0.6
2017-2018 NBA NBA Summer League Stats,George Papagiannis,SAC,1,0,0,0,0,0,0,17,1,.129,0.6,0.2,0.1,2,4,.333,-0.1,0.2,0.1
2017-2018 NBA NBA Summer League Stats,Kendall Marshall,LAC,1,0,0,0,0,0,0,11,0,.296,2.8,0.2,0.4,2,2,.500,0.2,0.0,0.3
2017-2018 NBA NBA Summer League Stats,Jalen Jones,NOP,1,0,0,0,0,0,0,21,0,.140,0.3,0.3,0.5,1,5,.167,0.2,0.0,0.2
2017-2018 NBA NBA Summer League Stats,Antonio Blakeney,CHI,1,0,0,0,0,0,0,27,0,.235,0.5,0.8,0.5,1,3,.250,0.4,0.1,0.5
2017-2018 NBA NBA Summer League Stats,Lauri Markkanen,CHI,1,0,0,0,0,0,0,20,0,.205,1.5,1.5,0.3,1,2,.333,0.2,0.2,0.3
2017-2018 NBA NBA Summer League Stats,Kevon Looney,GSW,1,0,0,0,0,0,0,11,0,.134,2.5,1.0,0.3,2,3,.400,0.1,0.1,0.2
2017-2018 NBA NBA Summer League Stats,Okaro White,MIA,1,0,0,0,0,0,0,23,0,.256,0.2,0.5,0.3,2,1,.667,0.1,0.2,0.3
2017-2018 NBA NBA Summer League Stats,Alfonzo McKinnie,TOR,1,0,0,0,0,0,0,11,0,.126,1.5,2.0,0.2,3,1,.750,0.1,0.1,0.3
2017-2018 NBA NBA Summer League Stats,Jarell Martin,MEM,1,0,0,0,0,0,0,21,0,.147,0.6,0.9,0.5,5,1,.833,0.3,0.2,0.5
2017-2018 NBA NBA Summer League Stats,Bam Adebayo,MIA,1,0,0,0,0,0,0,18,0,.218,0.4,0.6,0.8,2,1,.667,0.1,0.2,0.4
2017-2018 NBA NBA Summer League Stats,Damian Jones,GSW,1,0,0,0,0,0,0,13,0,.121,0.2,0.2,0.5,2,4,.333,-0.2,0.2,0.0
2017-2018 NBA NBA Summer League Stats,Jayson Tatum,BOS,1,0,0,0,0,0,0,27,0,.256,0.4,0.1,0.3,3,0,1.000,0.1,0.3,0.4
2017-2018 NBA NBA Summer League Stats,Marquese Chriss,PHX,1,0,0,0,0,0,0,26,2,.151,0.2,0.2,0.7,2,3,.400,-0.2,0.1,-0.1
2017-2018 NBA NBA Summer League Stats,Chris McCullough,WAS,1,0,0,0,0,0,0,11,0,.111,0.1,0.1,0.2,0,5,.000,-0.6,0.1,-0.5
2018-2019 NBA NBA Summer League Stats,Christian Wood,MIL,4,0,0,0,0,0,1,27,0,.265,0.2,0.4,0.4,2,3,.400,0.7,0.4,1.1
2018-2019 NBA NBA Summer League Stats,Willy Hernangomez,CHA,4,0,0,0,0,0,0,22,1,.262,0.7,0.3,0.4,3,1,.750,0.5,0.2,0.7
2018-2019 NBA NBA Summer League Stats,Mitchell Robinson,NYK,3,0,0,0,0,0,2,17,0,.183,0.0,5.0,0.2,2,3,.400,0.9,0.1,1.0
2018-2019 NBA NBA Summer League Stats,Caleb Swanigan,POR,2,0,0,0,0,0,0,21,0,.179,1.1,0.1,0.4,7,0,1.000,0.2,0.4,0.6
2018-2019 NBA NBA Summer League Stats,Devin Robinson,WAS,2,0,0,0,0,0,0,26,0,.301,0.9,0.6,0.5,1,4,.200,0.6,0.2,0.9
2018-2019 NBA NBA Summer League Stats,Amile Jefferson,MIN,2,0,0,0,0,0,0,15,0,.162,0.8,0.7,0.3,3,2,.600,0.2,0.5,0.7
2018-2019 NBA NBA Summer League Stats,De'Anthony Melton,HOU,2,0,0,0,0,0,0,26,0,.314,1.3,1.0,0.2,4,1,.800,0.2,0.3,0.5
2018-2019 NBA NBA Summer League Stats,Cheick Diallo,NOP,2,0,0,0,0,0,0,28,0,.241,0.6,0.3,0.6,2,2,.500,0.6,0.0,0.7
2018-2019 NBA NBA Summer League Stats,Deandre Ayton,PHX,2,0,0,0,0,0,0,21,0,.188,0.0,0.3,0.5,3,1,.750,0.3,0.4,0.7
2018-2019 NBA NBA Summer League Stats,Henry Ellenson,DET,2,0,0,0,0,0,0,22,0,.316,0.9,0.3,0.3,3,3,.500,-0.4,0.4,-0.1
2018-2019 NBA NBA Summer League Stats,Ante Zizic,CLE,2,0,0,0,0,0,0,25,0,.441,0.7,0.1,0.2,1,1,.500,0.2,0.2,0.4
2018-2019 NBA NBA Summer League Stats,Wade Baldwin IV,POR,1,0,0,0,0,1,0,20,2,.371,2.7,0.4,0.3,7,0,1.000,0.6,0.4,1.0
2018-2019 NBA NBA Summer League Stats,Thomas Bryant,WAS,1,0,0,0,0,0,0,22,0,.253,0.7,0.4,0.3,1,4,.200,0.5,0.2,0.7
2018-2019 NBA NBA Summer League Stats,Alpha Kaba,ATL,1,0,0,0,0,0,0,14,0,.117,2.5,3.0,0.5,3,2,.600,0.6,0.2,0.7
2018-2019 NBA NBA Summer League Stats,Miles Bridges,CHA,1,0,0,0,0,0,0,20,0,.225,1.5,1.2,0.2,3,2,.600,0.2,0.2,0.4
2018-2019 NBA NBA Summer League Stats,Jeff Ayres,LAL,1,0,0,0,0,0,0,20,2,.153,0.6,0.4,0.4,6,1,.857,0.7,0.3,1.0
2018-2019 NBA NBA Summer League Stats,Jabari Bird,BOS,1,0,0,0,0,0,0,24,0,.303,1.7,1.0,0.3,3,1,.750,0.6,0.1,0.7
2018-2019 NBA NBA Summer League Stats,Rashawn Thomas,OKC,1,0,0,0,0,0,0,23,0,.193,0.3,0.5,0.5,3,2,.600,0.4,0.3,0.7
2018-2019 NBA NBA Summer League Stats,Georges Niang,UTA,1,0,0,0,0,0,0,20,1,.280,1.9,0.5,0.1,2,3,.400,0.4,0.0,0.5
2018-2019 NBA NBA Summer League Stats,Alize Johnson,IND,1,0,0,0,0,0,0,16,0,.179,2.7,0.7,0.4,2,3,.400,0.5,0.1,0.6
2018-2019 NBA NBA Summer League Stats,Zach Auguste,SAC,1,0,0,0,0,0,0,19,0,.176,0.3,0.5,0.5,2,3,.400,0.3,0.3,0.5
2018-2019 NBA NBA Summer League Stats,"Bruce Brown, Jr.",DET,1,0,0,0,0,1,0,15,0,.247,1.6,0.9,0.4,3,3,.500,-0.1,0.4,0.3
2018-2019 NBA NBA Summer League Stats,D.J. Wilson,MIL,1,0,0,0,0,0,0,19,0,.228,1.2,0.8,0.1,2,3,.400,0.2,0.3,0.5
2018-2019 NBA NBA Summer League Stats,Guerschon Yabusele,BOS,1,0,0,0,0,0,0,16,0,.221,1.9,0.6,0.3,4,2,.667,0.5,0.1,0.5
2018-2019 NBA NBA Summer League Stats,Omari Spellman,ATL,1,0,0,0,0,0,0,20,0,.181,1.1,0.8,0.3,2,3,.400,0.1,0.1,0.3
2018-2019 NBA NBA Summer League Stats,Jarrod Jones,MIA,1,0,0,0,0,0,0,31,0,.216,2.0,1.7,0.2,1,3,.250,0.5,0.0,0.5
2018-2019 NBA NBA Summer League Stats,Allonzo Trier,NYK,1,0,0,0,0,0,0,21,0,.280,2.2,0.8,0.5,1,3,.250,0.6,-0.1,0.5
2018-2019 NBA NBA Summer League Stats,Jalen Jones,DAL,1,0,0,0,0,0,0,21,1,.160,1.0,1.3,0.4,3,2,.600,0.5,0.1,0.6
2018-2019 NBA NBA Summer League Stats,"Troy Brown, Jr.",WAS,1,0,0,0,0,0,0,25,0,.322,0.6,0.4,0.2,1,4,.200,-0.1,0.2,0.2
2018-2019 NBA NBA Summer League Stats,Zach Collins,POR,1,0,0,0,0,0,1,13,3,.129,0.5,0.2,0.2,6,0,1.000,0.0,0.4,0.4
2018-2019 NBA NBA Summer League Stats,Rawle Alkins,TOR,1,0,0,0,0,0,0,25,0,.182,1.5,1.0,0.2,2,4,.333,0.2,0.1,0.3
2018-2019 NBA NBA Summer League Stats,Keita Bates-Diop,MIN,1,0,0,0,0,0,0,24,0,.223,0.3,0.4,0.3,3,2,.600,-0.1,0.5,0.4
2018-2019 NBA NBA Summer League Stats,Daniel Hamilton,OKC,1,0,0,0,0,0,0,12,0,.289,1.7,0.2,0.2,3,2,.600,-0.3,0.2,-0.1
2018-2019 NBA NBA Summer League Stats,"Derrick Walton, Jr.",MIA,1,0,0,0,0,0,0,15,0,.341,3.9,1.3,0.3,2,2,.500,0.3,0.1,0.3
2018-2019 NBA NBA Summer League Stats,Chandler Hutchison,CHI,1,0,0,0,0,0,0,16,0,.250,1.1,0.3,0.5,2,3,.400,0.1,0.2,0.3
2018-2019 NBA NBA Summer League Stats,Landry Nnoko,MIA,1,0,0,0,0,0,0,12,0,.121,1.0,1.0,0.6,2,2,.500,0.3,0.1,0.4
2018-2019 NBA NBA Summer League Stats,Isaiah Hartenstein,HOU,1,0,0,0,0,0,0,12,0,.131,0.4,0.4,1.0,3,1,.750,0.2,0.2,0.4
2018-2019 NBA NBA Summer League Stats,Trae Young,ATL,1,0,0,0,0,0,0,24,0,.331,1.8,0.4,0.5,2,2,.500,0.5,0.0,0.5
2018-2019 NBA NBA Summer League Stats,Angel Delgado,LAC,1,0,0,0,0,1,0,14,0,.139,1.2,1.2,0.4,2,3,.400,0.1,0.2,0.3
2018-2019 NBA NBA Summer League Stats,Diamond Stone,UTA,1,0,0,0,0,0,0,17,0,.173,0.5,0.3,0.5,2,2,.500,0.5,0.0,0.5
2018-2019 NBA NBA Summer League Stats,Tyler Dorsey,ATL,1,0,0,0,0,0,0,24,0,.306,2.0,0.8,0.1,1,1,.500,0.2,0.1,0.3
2018-2019 NBA NBA Summer League Stats,Chris Chiozza,WAS,1,0,0,0,0,0,0,10,0,.322,2.1,0.6,0.0,1,4,.200,-0.3,0.2,-0.1
2018-2019 NBA NBA Summer League Stats,Kyle Collinsworth,DAL,1,0,0,0,0,0,0,14,0,.122,1.0,0.5,0.6,3,2,.600,-0.1,0.1,0.0
2018-2019 NBA NBA Summer League Stats,Cedi Osman,CLE,1,0,0,0,0,0,0,25,0,.371,1.5,0.8,0.3,2,0,1.000,0.2,0.3,0.5
2018-2019 NBA NBA Summer League Stats,Harry Giles,SAC,1,0,0,0,0,1,0,17,3,.220,0.6,0.6,0.1,1,3,.250,-0.2,0.2,0.0
2018-2019 NBA NBA Summer League Stats,Frank Mason,SAC,1,0,0,0,0,0,0,12,0,.382,3.0,0.3,0.4,1,2,.333,0.1,0.0,0.1
2018-2019 NBA NBA Summer League Stats,Jarrett Allen,BRK,1,0,0,0,0,0,1,13,0,.141,0.0,0.0,0.1,0,2,.000,0.0,0.1,0.1
2019-2020 NBA NBA Summer League Stats,Brandon Clarke,MEM,3,0,0,0,0,0,0,23,0,.235,2.0,0.3,0.4,5,1,.833,0.9,0.3,1.2
2019-2020 NBA NBA Summer League Stats,Jarrett Allen,BRK,3,0,0,0,0,0,0,30,0,.261,0.5,0.3,0.5,3,2,.600,0.5,0.4,0.9
2019-2020 NBA NBA Summer League Stats,Alize Johnson,IND,3,0,0,0,0,0,0,25,0,.287,1.0,0.7,0.5,1,4,.200,0.6,0.0,0.6
2019-2020 NBA NBA Summer League Stats,"Bruce Brown, Jr.",DET,3,1,0,0,0,0,0,17,0,.394,3.7,0.6,0.4,4,0,1.000,0.6,0.2,0.9
2019-2020 NBA NBA Summer League Stats,R.J. Barrett,NYK,3,0,0,0,0,0,0,21,0,.318,1.7,0.3,0.4,2,2,.500,0.1,0.2,0.3
2019-2020 NBA NBA Summer League Stats,Amile Jefferson,ORL,2,0,0,0,0,0,0,24,0,.260,1.0,1.6,0.2,2,3,.400,0.6,0.3,0.8
2019-2020 NBA NBA Summer League Stats,Chris Boucher,TOR,2,0,0,0,0,0,0,24,0,.279,1.0,0.2,0.8,1,3,.250,0.8,0.2,1.0
2019-2020 NBA NBA Summer League Stats,Daniel Gafford,CHI,2,0,0,0,0,0,1,21,0,.211,0.6,0.6,0.5,2,3,.400,0.7,0.2,0.9
2019-2020 NBA NBA Summer League Stats,Mitchell Robinson,NYK,2,0,0,0,0,0,1,18,1,.205,0.1,0.1,0.5,2,2,.500,0.6,0.2,0.8
2019-2020 NBA NBA Summer League Stats,Kevin Hervey,OKC,2,0,0,0,0,0,0,20,0,.256,1.3,0.7,0.3,3,1,.750,0.3,0.4,0.7
2019-2020 NBA NBA Summer League Stats,Tony Bradley,UTA,2,0,0,0,0,0,0,23,0,.337,1.0,0.4,0.3,2,1,.667,0.4,0.2,0.6
2019-2020 NBA NBA Summer League Stats,Devontae Cacok,LAL,2,0,0,0,0,0,0,17,1,.234,0.5,0.8,0.2,1,4,.200,0.3,0.1,0.4
2019-2020 NBA NBA Summer League Stats,Jarred Vanderbilt,DEN,2,0,0,0,0,0,0,20,0,.227,0.6,0.4,0.3,1,3,.250,0.1,0.2,0.3
2019-2020 NBA NBA Summer League Stats,Kelan Martin,MIN,1,0,0,0,0,0,0,23,1,.180,1.4,1.2,0.2,6,1,.857,0.7,0.4,1.1
2019-2020 NBA NBA Summer League Stats,Duncan Robinson,MIA,1,0,0,0,0,0,0,26,0,.254,1.6,0.8,0.2,3,2,.600,0.6,0.2,0.8
2019-2020 NBA NBA Summer League Stats,Naz Reid,MIN,1,0,0,0,0,0,0,20,0,.203,0.9,0.1,0.3,6,1,.857,0.4,0.3,0.7
2019-2020 NBA NBA Summer League Stats,Robert Williams,BOS,1,0,0,0,0,0,0,16,0,.162,1.6,1.0,0.3,3,1,.750,0.3,0.3,0.6
2019-2020 NBA NBA Summer League Stats,Jock Landale,MIL,1,0,0,0,0,0,0,25,1,.250,0.8,0.5,0.3,2,2,.500,0.6,0.2,0.8
2019-2020 NBA NBA Summer League Stats,Chris Chiozza,HOU,1,0,0,0,0,0,0,15,0,.302,2.1,0.5,0.3,3,2,.600,0.5,-0.1,0.4
2019-2020 NBA NBA Summer League Stats,Chris Clemons,HOU,1,0,0,0,0,0,0,25,0,.253,0.9,0.7,0.2,3,2,.600,0.5,-0.1,0.5
2019-2020 NBA NBA Summer League Stats,Kenrich Williams,NOP,1,0,0,0,0,0,0,17,0,.188,1.1,1.1,0.0,3,1,.750,0.2,0.3,0.5
2019-2020 NBA NBA Summer League Stats,Jaxson Hayes,NOP,1,0,0,0,0,0,0,28,1,.188,1.0,1.0,0.4,3,1,.750,0.7,0.2,0.9
2019-2020 NBA NBA Summer League Stats,Dewan Hernandez,TOR,1,0,0,0,0,0,0,18,0,.229,1.8,0.4,0.4,2,3,.400,0.2,0.2,0.4
2019-2020 NBA NBA Summer League Stats,Terance Mann,LAC,1,0,0,0,0,0,0,15,1,.319,1.4,0.3,0.2,2,1,.667,0.1,0.2,0.3
2019-2020 NBA NBA Summer League Stats,Jacorey Williams,CLE,1,0,0,0,0,0,0,18,0,.196,1.0,0.2,0.4,2,3,.400,0.3,0.0,0.3
2019-2020 NBA NBA Summer League Stats,Codi Miller-McIntyre,LAL,1,0,0,0,0,0,0,15,0,.298,1.7,0.4,0.5,1,3,.250,0.0,0.1,0.1
2019-2020 NBA NBA Summer League Stats,Josh Reaves,DAL,1,0,0,0,0,0,0,18,0,.187,1.5,0.8,0.4,3,2,.600,0.3,0.1,0.4
2019-2020 NBA NBA Summer League Stats,Mfiondu Kabengele,LAC,1,0,0,0,0,0,0,21,0,.202,0.5,0.3,0.4,3,1,.750,0.4,0.2,0.6
2019-2020 NBA NBA Summer League Stats,DeVaughn Akoon-Purcell,IND,1,0,0,0,0,0,0,24,0,.243,0.8,0.7,0.3,1,4,.200,0.1,0.0,0.1
2019-2020 NBA NBA Summer League Stats,Keita Bates-Diop,MIN,1,0,0,0,0,0,0,17,0,.166,0.8,0.5,0.2,6,1,.857,-0.1,0.4,0.3
2019-2020 NBA NBA Summer League Stats,Devin Robinson,POR,1,0,0,0,0,0,0,14,1,.108,0.3,0.6,0.6,2,3,.400,0.4,0.1,0.4
2019-2020 NBA NBA Summer League Stats,Yante Maten,MIA,1,0,0,0,0,0,0,17,1,.164,0.5,0.1,0.4,3,2,.600,0.1,0.1,0.3
2019-2020 NBA NBA Summer League Stats,Zhou Qi,CHI,1,0,0,0,0,0,0,17,0,.143,0.2,0.3,0.3,1,4,.200,-0.2,0.1,-0.1
2019-2020 NBA NBA Summer League Stats,Amida Brimah,BRK,1,0,0,0,0,0,0,14,0,.075,0.1,0.0,0.8,4,2,.667,0.2,0.2,0.4
2019-2020 NBA NBA Summer League Stats,Kennedy Meeks,CHA,1,0,0,0,0,0,0,18,0,.122,1.3,0.3,0.3,2,3,.400,0.3,0.1,0.4
2019-2020 NBA NBA Summer League Stats,Nick Ward,ATL,1,0,0,0,0,0,0,16,0,.109,0.4,0.4,0.7,2,3,.400,0.1,0.2,0.4
2019-2020 NBA NBA Summer League Stats,Antonio Vrankovic,CRO,1,0,0,0,0,0,0,16,0,.175,0.5,0.5,0.0,0,5,.000,0.2,0.1,0.3
2019-2020 NBA NBA Summer League Stats,Kavell Bigby-Williams,NOP,1,0,0,0,0,0,0,14,0,.075,0.0,0.2,0.5,3,2,.600,0.1,0.2,0.3
2019-2020 NBA NBA Summer League Stats,Christ Koumadje,PHI,1,0,0,0,0,0,1,11,0,.083,0.2,0.0,0.5,2,3,.400,0.2,0.1,0.3
2019-2020 NBA NBA Summer League Stats,Isaiah Hartenstein,HOU,1,0,0,0,0,0,0,22,0,.176,0.0,0.6,0.6,1,2,.333,0.2,0.0,0.2
2019-2020 NBA NBA Summer League Stats,Zeljko Sakic,CRO,1,0,0,0,0,0,0,17,0,.226,1.2,0.2,0.2,0,5,.000,-0.1,0.1,0.0
2019-2020 NBA NBA Summer League Stats,Richard Solomon,TOR,1,0,0,0,0,0,0,14,1,.118,0.7,0.4,0.2,2,3,.400,0.0,0.2,0.2
2019-2020 NBA NBA Summer League Stats,Thomas Robinson,SAS,1,0,0,0,0,0,0,14,0,.126,0.2,0.0,0.4,1,3,.250,0.2,0.1,0.2
2019-2020 NBA NBA Summer League Stats,Zylan Cheatham,NOP,1,0,0,0,0,0,0,10,0,.069,0.5,0.5,0.5,3,2,.600,-0.1,0.2,0.2
2019-2020 NBA NBA Summer League Stats,Brandon Ashley,SAC,1,0,0,0,0,0,0,18,0,.091,1.0,1.0,0.1,1,3,.250,0.2,0.1,0.3
2019-2020 NBA NBA Summer League Stats,Chandler Hutchison,CHI,1,0,0,0,0,0,0,18,0,.197,0.7,0.4,0.5,2,2,.500,-0.1,0.2,0.0
2019-2020 NBA NBA Summer League Stats,"Troy Brown, Jr.",WAS,1,0,0,0,0,0,0,18,0,.202,0.6,0.1,0.4,1,2,.333,-0.1,0.1,0.1
2019-2020 NBA NBA Summer League Stats,Willie Reed,UTA,1,0,0,0,0,0,0,14,0,.122,0.3,0.2,0.9,1,3,.250,0.0,0.1,0.1
2019-2020 NBA NBA Summer League Stats,Zhelin Wang,CHI,1,0,0,0,0,0,0,12,1,.142,0.3,0.0,0.4,1,3,.250,-0.1,-0.1,-0.2
2019-2020 NBA NBA Summer League Stats,Ebuka Izundu,GSW,1,0,0,0,0,0,0,14,0,.090,0.5,0.5,0.1,2,1,.667,0.1,0.1,0.2
2019-2020 NBA NBA Summer League Stats,Luka Samanic,SAS,1,0,0,0,0,0,0,16,0,.205,0.7,0.3,0.4,1,2,.333,-0.1,0.0,0.0
2019-2020 NBA NBA Summer League Stats,Landry Nnoko,PHX,1,0,0,0,0,0,0,10,0,.093,0.2,0.0,0.8,2,1,.667,-0.2,0.1,-0.1
2021-2022 NBA NBA Summer League Stats,"Paul Reed, Jr.",PHI,4,0,0,1,0,0,0,27,1,.263,1.4,1.6,0.3,3,2,.600,0.9,0.3,1.2
2021-2022 NBA NBA Summer League Stats,Naji Marshall,NOP,4,0,0,0,0,0,0,18,0,.303,2.4,0.8,0.3,5,0,1.000,0.3,0.6,0.9
2021-2022 NBA NBA Summer League Stats,Jalen Smith,PHX,4,0,0,0,0,0,0,21,0,.250,0.2,0.5,0.2,2,2,.500,0.2,0.3,0.5
2021-2022 NBA NBA Summer League Stats,Luka Garza,DET,3,0,0,0,0,0,1,21,0,.222,1.1,0.3,0.4,3,2,.600,0.8,0.1,0.9
2021-2022 NBA NBA Summer League Stats,Jalen Johnson,ATL,3,0,0,0,0,0,0,25,0,.289,0.5,0.2,0.2,2,2,.500,0.3,0.1,0.4
2021-2022 NBA NBA Summer League Stats,Alperen Sengun,HOU,2,0,0,0,0,0,0,21,0,.250,1.1,0.5,0.6,2,2,.500,0.3,0.3,0.6
2021-2022 NBA NBA Summer League Stats,DeJon Jarreau,MIA,2,0,0,0,0,0,0,14,0,.309,2.2,0.5,0.4,2,3,.400,0.4,0.2,0.6
2021-2022 NBA NBA Summer League Stats,Sandro Mamukelashvili,MIL,2,0,0,0,0,0,0,20,0,.210,0.9,0.6,0.4,1,4,.200,0.3,0.1,0.4
2021-2022 NBA NBA Summer League Stats,Alize Johnson,BRK,2,0,0,0,0,0,0,13,0,.197,1.3,0.2,0.4,2,2,.500,0.4,0.1,0.5
2021-2022 NBA NBA Summer League Stats,Omer Yurtseven,MIA,2,0,0,0,0,0,0,23,0,.319,1.0,0.8,0.2,1,2,.333,0.4,0.1,0.5
2021-2022 NBA NBA Summer League Stats,Saddiq Bey,DET,2,0,0,0,0,0,0,15,0,.267,2.0,1.0,0.3,2,2,.500,0.2,0.1,0.3
2021-2022 NBA NBA Summer League Stats,Daniel Oturu,LAC,2,0,0,0,0,0,1,12,0,.185,0.6,0.1,0.4,1,3,.250,0.2,0.2,0.4
2021-2022 NBA NBA Summer League Stats,Jay Scrubb,LAC,2,0,0,0,0,0,0,24,0,.208,1.0,0.4,0.2,1,4,.200,-0.2,0.1,-0.1
2021-2022 NBA NBA Summer League Stats,Patrick Williams,CHI,2,0,0,0,0,0,0,30,0,.395,0.6,0.1,0.3,1,2,.333,-0.1,0.1,0.0
2021-2022 NBA NBA Summer League Stats,Payton Pritchard,BOS,1,0,0,0,0,0,0,23,0,.415,3.4,0.7,0.2,3,1,.750,0.8,0.2,1.0
2021-2022 NBA NBA Summer League Stats,Obi Toppin,NYK,1,0,0,0,0,0,0,31,0,.289,0.5,0.5,0.2,4,2,.667,0.4,0.1,0.4
2021-2022 NBA NBA Summer League Stats,Udoka Azubuike,UTA,1,0,0,0,0,0,1,18,0,.214,1.0,1.7,1.1,3,1,.750,0.7,0.3,1.0
2021-2022 NBA NBA Summer League Stats,Kyle Alexander,PHX,1,0,0,0,0,0,0,18,0,.188,0.8,1.3,0.3,2,3,.400,0.7,0.3,1.0
2021-2022 NBA NBA Summer League Stats,Trent Forrest,UTA,1,0,0,0,0,0,0,19,0,.419,2.3,0.6,0.4,3,1,.750,0.4,0.3,0.7
2021-2022 NBA NBA Summer League Stats,Jeremiah Robinson-Earl,OKC,1,0,0,0,0,0,0,15,0,.219,1.0,0.8,0.2,2,3,.400,0.4,0.2,0.6
2021-2022 NBA NBA Summer League Stats,Emmanuel Mudiay,POR,1,0,0,0,0,0,0,14,0,.369,3.3,0.3,0.0,2,3,.400,0.4,0.0,0.5
2021-2022 NBA NBA Summer League Stats,Scottie Barnes,TOR,1,0,0,0,0,0,1,23,0,.268,1.9,0.6,0.5,3,1,.750,0.4,0.2,0.6
2021-2022 NBA NBA Summer League Stats,Mfiondu Kabengele,CLE,1,0,0,0,0,0,0,11,0,.109,1.1,0.6,0.7,2,3,.400,0.2,0.1,0.3
2021-2022 NBA NBA Summer League Stats,Malachi Flynn,TOR,1,0,0,0,0,0,0,23,0,.283,1.3,0.7,0.2,3,1,.750,0.3,0.2,0.5
2021-2022 NBA NBA Summer League Stats,Theo Maledon,OKC,1,0,0,0,0,0,0,18,0,.311,2.5,0.1,0.2,2,3,.400,0.2,0.0,0.2
2021-2022 NBA NBA Summer League Stats,Isaiah Jackson,IND,1,0,0,0,0,0,1,13,0,.147,0.6,0.6,0.3,3,2,.600,0.1,0.4,0.5
2021-2022 NBA NBA Summer League Stats,Kai Jones,CHA,1,0,0,0,0,0,0,16,0,.170,0.5,0.1,0.3,0,5,.000,0.0,0.0,0.0
2021-2022 NBA NBA Summer League Stats,Tyler Bey,CHI,1,0,0,0,0,0,0,13,0,.101,1.3,1.0,0.8,2,3,.400,0.3,0.1,0.5
2021-2022 NBA NBA Summer League Stats,Zylan Cheatham,DEN,1,0,0,0,0,0,0,15,0,.162,0.8,0.1,0.4,2,3,.400,0.3,0.0,0.3
2021-2022 NBA NBA Summer League Stats,Precious Achiuwa,TOR,1,0,0,0,0,0,0,19,0,.245,0.7,1.0,0.5,2,1,.667,0.4,0.1,0.5
2021-2022 NBA NBA Summer League Stats,Olivier Sarr,MEM,1,0,0,0,0,0,0,18,0,.162,0.9,0.1,0.7,3,1,.750,0.4,0.1,0.5
